step,energy,error,conflict
0,303.2809327007028,0.0,0.0
1,341.46381148847723,0.030391119420097625,1.0
2,375.6221884884776,0.03736433087779377,1.0
3,412.7741166730168,0.03935210750118657,1.0
4,451.97251377562156,0.03709609189003191,1.0
5,487.0210799107628,0.03901433368886457,1.0
6,524.9291629804884,0.04352663254228937,1.0
7,560.8407539341534,0.04604528494280545,1.0
8,595.747579887165,0.04734850289660104,1.0
9,631.44413060083,0.048241490766747164,1.0
10,656.0670373810109,0.04956435393745593,1.0
11,687.7798520933279,0.04849371722702894,1.0
12,718.4713079353469,0.047227944276958755,1.0
13,744.1513316297433,0.04564665715905377,1.0
14,777.6628371879996,0.04585826516505877,1.0
15,812.0898887960107,0.04647832325891299,1.0
16,844.506592565331,0.04656247908554055,1.0
17,874.9610674902586,0.04565796069551999,1.0
18,901.26394476652,0.04587974011404528,1.0
19,935.2829749175011,0.04618703050173599,1.0
20,968.3794145769485,0.045237491386184124,1.0
21,999.3842749028643,0.044532865023379255,1.0
22,1028.3282228064295,0.04411786538125642,1.0
23,1065.234728196224,0.043433612135227985,1.0
24,1096.0647269891604,0.042975617423146,1.0
25,1125.8528729259187,0.04245428789931252,1.0
26,1160.490974880526,0.04266668895075526,1.0
27,1191.107795661288,0.04262446351197991,1.0
28,1222.67103266037,0.042574022126873765,1.0
29,1244.1493950775919,0.04285698026559814,1.0
30,1267.5056502592274,0.04354830940297379,1.0
31,1299.0276844848665,0.0428296897266211,1.0
32,1328.436152564758,0.04250602668427642,1.0
33,1353.7652284516794,0.04234172536773457,1.0
34,1380.1423841746503,0.04160288864967378,1.0
35,1411.3571414490646,0.041495849588537005,1.0
36,1438.5562652504304,0.041184848770109674,1.0
37,1467.6799219240042,0.040996668812108034,1.0
38,1492.7596129044605,0.040763321012443225,1.0
39,1519.762314111981,0.040551733590115664,1.0
40,1549.6346804908683,0.0407168309422791,1.0
41,1580.5365824745475,0.040476372679350905,1.0
42,1607.3755902376063,0.04028375872982581,1.0
43,1637.0932314546783,0.04040149822671188,1.0
44,1664.7584860972825,0.040503037473951564,1.0
45,1692.4758443328974,0.04014053397842095,1.0
46,1719.0614369736297,0.04011916244365191,1.0
47,1749.6536597479844,0.039846053036394935,1.0
48,1784.1613178043563,0.039624656222736365,1.0
49,1814.581422005061,0.03962359460628464,1.0
50,1839.926169169633,0.03962591578348183,1.0
51,1871.3533909515359,0.03910601512163404,1.0
52,1900.6227574165505,0.038993454180821216,1.0
53,1932.8260167344802,0.03892908984907534,1.0
54,1962.9418986713383,0.03898645801566078,1.0
55,1990.0513686592653,0.03887252659942401,1.0
56,2018.143785408089,0.03863336211976342,1.0
57,2047.2578030865561,0.038143790469611756,1.0
58,2073.256979018335,0.03787517992144933,1.0
59,2102.1101070161913,0.037919821116819644,1.0
60,2133.8677406606453,0.03809818758476085,1.0
61,2163.6307401543786,0.03808065577764317,1.0
